store_name,address,address_line_2,city,state,zip_code,phone_number,store_hours,latitude,longitude,country,country_code,county,geo_accuracy
College Station,1500 Harvey Road,Ste 9004,College Station,TX,77840,(979) 696-6304,"Sun:{open:12:00:00,close:18:00:00},mon:{open:11:00:00,close:20:00:00},tue:{open:11:00:00,close:20:00:00},wed:{open:11:00:00,close:20:00:00},thu:{open:11:00:00,close:20:00:00},fri:{open:11:00:00,close:20:00:00},sat:{open:11:00:00,close:20:00:00",30.623976,-96.304164,United States,US,Brazos,PREMISE: ROOFTOP
Tuscaloosa,1701 Mcfarland Boulevard East,Ste 115,Tuscaloosa,AL,35404,(205) 562-9131,"Sun:{open:01:00:00,close:17:00:00},mon:{open:10:00:00,close:19:00:00},tue:{open:10:00:00,close:19:00:00},wed:{open:10:00:00,close:19:00:00},thu:{open:10:00:00,close:19:00:00},fri:{open:10:00:00,close:20:00:00},sat:{open:10:00:00,close:20:00:00",33.19485,-87.522955,United States,US,Tuscaloosa,PREMISE: ROOFTOP
Pecanland,4700 Millhaven Rd,1150,Monroe,LA,71203,(318) 651-8133,"Sun:{open:12:00:00,close:18:00:00},mon:{open:11:00:00,close:19:00:00},tue:{open:11:00:00,close:19:00:00},wed:{open:11:00:00,close:19:00:00},thu:{open:11:00:00,close:19:00:00},fri:{open:11:00:00,close:20:00:00},sat:{open:11:00:00,close:20:00:00",32.4982025,-92.05914779999999,United States,US,Ouachita Parish,SUBPREMISE: ROOFTOP
University Mall,1237 E Main St,Ste 1006,Carbondale,IL,62901,(618) 549-9070,"Sun:{open:11:00:00,close:17:00:00},mon:{open:11:00:00,close:19:00:00},tue:{open:11:00:00,close:19:00:00},wed:{open:11:00:00,close:19:00:00},thu:{open:11:00:00,close:19:00:00},fri:{open:11:00:00,close:19:00:00},sat:{open:11:00:00,close:19:00:00",37.72895640000001,-89.19132030000002,United States,US,Jackson,SUBPREMISE: ROOFTOP
Central Mall,5111 Rodgers Ave,Ste 124,Fort Smith,AR,72903,(479) 452-6940,"Sun:{open:12:00:00,close:18:00:00},mon:{open:11:00:00,close:20:00:00},tue:{open:11:00:00,close:20:00:00},wed:{open:11:00:00,close:20:00:00},thu:{open:11:00:00,close:20:00:00},fri:{open:11:00:00,close:20:00:00},sat:{open:11:00:00,close:20:00:00",35.366469,-94.375209,United States,US,Sebastian,PREMISE: ROOFTOP
Barnes Crossing,1001 Barnes Crossing Rd,Ste 804,Tupelo,MS,38804,(662) 620-9077,"Sun:{open:12:00:00,close:18:00:00},mon:{open:10:00:00,close:20:00:00},tue:{open:10:00:00,close:20:00:00},wed:{open:10:00:00,close:20:00:00},thu:{open:10:00:00,close:20:00:00},fri:{open:10:00:00,close:20:00:00},sat:{open:10:00:00,close:20:00:00",34.308443,-88.70166669999999,United States,US,Lee,SUBPREMISE: ROOFTOP
Eureka,22 S Main St,,Eureka Springs,AR,72632,(479) 363-0002,"Sun:{open:10:00:00,close:18:00:00},mon:{open:10:00:00,close:18:00:00},tue:{open:10:00:00,close:18:00:00},wed:{open:10:00:00,close:18:00:00},thu:{open:10:00:00,close:18:00:00},fri:{open:10:00:00,close:19:00:00},sat:{open:10:00:00,close:19:00:00",36.40132,-93.737835,United States,US,Carroll,PREMISE: ROOFTOP
Northwest,4201 North Shiloh Dr.,Ste 1295,Fayetteville,AR,72703,(479) 443-5740,"Sun:{open:12:00:00,close:18:00:00},mon:{open:10:00:00,close:20:00:00},tue:{open:10:00:00,close:20:00:00},wed:{open:10:00:00,close:20:00:00},thu:{open:10:00:00,close:20:00:00},fri:{open:10:00:00,close:20:00:00},sat:{open:10:00:00,close:20:00:00",36.12781,-94.150145,United States,US,Washington,PREMISE: ROOFTOP
Mccain,3929 Mccain Blvd,Ste Jo5f,North Little Rock,AR,72116,(501) 753-1356,"Sun:{open:12:00:00,close:18:00:00},mon:{open:11:00:00,close:20:00:00},tue:{open:11:00:00,close:20:00:00},wed:{open:11:00:00,close:20:00:00},thu:{open:11:00:00,close:20:00:00},fri:{open:11:00:00,close:20:00:00},sat:{open:11:00:00,close:20:00:00",34.792595,-92.22623,United States,US,Pulaski,PREMISE: ROOFTOP
Downtown,262 Central Ave,,Hot Springs,AR,71901,(501) 623-1847,"Sun:{open:12:00:00,close:18:00:00},mon:{open:11:00:00,close:19:00:00},tue:{open:11:00:00,close:19:00:00},wed:{open:11:00:00,close:19:00:00},thu:{open:11:00:00,close:19:00:00},fri:{open:11:00:00,close:19:00:00},sat:{open:11:00:00,close:19:00:00",34.515809,-93.053694,United States,US,Garland,PREMISE: ROOFTOP
